Title,YearPublished,NumPages,Genres,Rating,Author,UnitsSold,Revenue
Chronicles of the Crystal Kingdom ,1910,408,Fantasy ,8.3,Madison Ward,146,3574.08
Eternal Echoes ,1923,366,Romance ,8.3,David Robinson,337,7400.52
City of Dreams ,1953,687,Urban Fantasy Adventure ,8.3,Aiden Cooper,158,6512.76
Arcane Chronicles ,2017,510,Dark Fantasy ,8.4,Aria Phillips,181,5538.6
Eclipse of Fate ,1941,402,Sci-Fi Thriller ,8.3,Sofia Nelson,179,4317.48
Whispers of the Lost ,1930,384,Historical Adventure ,8.3,Madison Ward,180,4147.2
Crimson Skies ,1932,357,Steampunk Adventure ,8.3,Christopher Wright,197,4219.74
Realm of Echoes ,1976,447,Magical Realism ,8.4,Scarlett Foster,112,3003.84
Shadowed Memories ,1944,351,Paranormal Mystery ,8.3,Jack Collins,71,1495.26
Sands of Time ,1938,369,Time Travel Adventure ,8.3,Sofia Martinez,109,2413.26
City of Secrets ,1945,267,Urban Fantasy Mystery ,8.2,Andrew Powell,33,528.66
Forgotten Worlds ,1998,348,Sci-Fi Fantasy ,8.4,Aubrey Ross,57,1190.16
Echoes of Destiny ,1984,489,Epic Fantasy ,8.2,Victoria Hall,39,1144.26
Whispers in the Dark,1979,384,Horror ,8.1,Anthony Wright,31,714.24
Harmony's Melody ,1976,384,Romance ,8,Jameson Mitchell,274,6312.96
Astral Prophecies ,1946,459,Space Opera ,8.3,Liam Parker,660,18176.4
Eclipse of Souls ,2017,378,Supernatural Suspense ,8.3,Avery Harris,443,10047.24
Chronicles of the Eclipse ,1995,312,Sci-Fi Fantasy ,8.2,Joseph Anderson,384,7188.48
City of Stars ,1955,420,Urban Fantasy ,8.2,Ava Mitchell,664,16732.8
Veil of Shadows ,1920,342,Dark Fantasy ,8.2,Emma Hayes,383,7859.16
Eternal Chronicles ,1997,324, Fantasy,8.3,Eleanor Turner,453,8806.32
Sands of Deception ,1959,408, Historical Mystery,8.3,Lily Cooper,372,9106.56
Shadows of Tomorrow ,1986,297, Dystopian Fiction,8.3,Liam Parker,459,8179.38
Whispers of Illusion ,1936,348, Paranormal Romance,8.3,Lily Cooper,333,6953.04
Dreams of Infinity ,1967,447,Sci-FiThriller,8.3,Lily Cooper,302,8099.64
Eternal Enchantment ,1933,468, Urban Fantasy Romance,8.2,Nicholas Lewis,159,4464.72
Eclipse of Destiny ,1926,345,Sci-FiFantasy,8.3,Maya Peterson,151,3125.7
Crimson Dawn ,1990,414, Adventure,8.2,Alexander Hernandez,260,6458.4
Whispers of the Abyss ,1954,306, Urban Fantasy Mystery,7.6,Isabelle Green,292,5361.12
Pulse of Eternity ,1909,252,Sci-FiRomance,8,Christian Murphy,203,3069.36
Journey to Nowhere ,2018,453,Psychological Fiction,8.5,Emma Hayes,597,16226.46
Murmurs in the Mist ,1988,294,Gothic Thriller,8.1,Ellie Johnson,304,5362.56
Chronicles of the Celestial Saga ,2005,318, High Fantasy,7.4,Ryan Mitchell,124,2365.92
Veiled Realms ,1989,264, Paranormal Suspense,8.5,Layla Allen,479,7587.36
Arcane Reverie ,2010,417, Magical Realism,7.8,Jonathan Campbell,78,1951.56
Shadows of Solitude ,1904,336, Contemporary Drama,8,Hailey White,81,1632.96
Embers of Time ,1920,510, Historical Adventure,8.3,Zachary Reed,383,11719.8
Whispers of Redemption ,1945,540,Apocalyptic Fantasy,8.2,Emma Hayes,651,21092.4
Eternal Echoes ,1956,243, Mystery,8.3,Addison Brown,449,6546.42
Forgotten Echoes ,1951,480, Urban Fantasy,8.4,Carter Dixon,180,5184
Silent Echoes ,1940,387, Romance,8.3,Christopher Cox,141,3274.02
Echoes of Enchantment ,1959,273, Historical Romance,8.2,Aubrey Martinez,242,3963.96
Tales of the Silent Stars ,2006,654, Space Opera,8.3,Caleb Ward,132,5179.68
Crimson Whispers ,1946,309, Gothic Romance,8.3,Olivia Foster,376,6971.04
Chasing the Echo ,1935,363, Mystery Thriller,8.2,Aubrey Ross,120,2613.6
Sands of Salvation ,1912,309, Adventure Romance,8.3,Isaac Thompson,109,2020.86
Whispers of the Forgotten ,2019,426,Sci-FiThriller,8.4,Sophia Ross,38,971.28
Beyond the Veil ,1916,459, Fantasy,8.3,Jack Collins,78,2148.12
Eclipsed Dreams ,1910,387,Sci-FiFantasy,8.3,Owen Adams,118,2739.96
Songs of the Forgotten ,1974,312, Historical Mystery,8.1,Mia Roberts,77,1441.44
City of Ember ,1959,396, Urban Fantasy,8.2,Aiden Cooper,115,2732.4
Shadowed Memories ,2018,375, Supernatural Drama,8.3,Aubrey Ross,82,1845
Midnight Reverie ,2012,537, Psychological Thriller,8.3,Luke Phillips,35,1127.7
Whispers of the Nightfall ,1905,414, Paranormal Suspense,8.2,Harper Gray,58,1440.72
Chronicles of the Celestial Prophecy ,1955,501, High Fantasy,8.1,Daniel Hall,52,1563.12
Eternal Illusions ,1973,321, Mystery,8.3,Aubrey Ross,70,1348.2
Harbor of Echoes ,1939,264, Nautical Adventure,8.2,Elijah Price,76,1203.84
Chasing the Mirage ,1902,267, Adventure Romance,8.3,Isla Montgomery,73,1169.46
Whispers of the Untold ,1984,615, Urban Fantasy Mystery,8.1,Cameron Mercer,24,885.6
Pulse of Desolation ,1920,330, Dystopian Fiction,8.2,Elijah Price,55,1089
Labyrinth of Whispers ,2004,963, Fantasy,8.2,Zoey Thornton,43,2484.54
Eclipse of Hope ,1937,378,Sci-FiRomance,8.2,Sebastian Callahan,56,1270.08
Sands of Obscurity ,1925,204, Historical Adventure,8.2,Grace Powell,57,697.68
Eternal Deception ,1906,429, Mystery Thriller,8.3,Elijah Price,36,926.64
Crimson Memories ,1905,312, Gothic Romance,8.1,Aurora Donovan,35,655.2
Sins of the Echo ,1987,282, Urban Fantasy,8.1,Lincoln Middleton,22,372.24
Whispers of the Forgotten Past ,1953,330, Historical Mystery,8.2,Nora Blackwell,25,495
Realm of Echoes ,1920,612, Paranormal Drama,8.1,Xavier Tate,25,918
Chronicles of the Celestial Conflict ,1986,468, High Fantasy,8.1,Aria Phillips,37,1038.96
Eclipse of Desolation ,1923,480,Sci-FiThriller,8,Savannah Chandler,23,662.4
Labyrinth of Shadows ,1922,468, Fantasy,8.1,Grayson Harrington,30,842.4
Echoes of Solace ,1941,417, Contemporary Drama,8.1,Natalie Scott,244,6104.88
Shadows of the Unseen ,1930,279, Paranormal Suspense,8.1,Ruby Ingram,307,5139.18
Whispers of the Enigma ,1987,351, Urban Fantasy Mystery,8.1,Avery Martinez,347,7307.82
Whispers of the Abyss ,1964,354, Supernatural Thriller,8.1,Max Caldwell,190,4035.6
Eclipse of Regret ,1970,714, Romance,8.2,Bella Mercer,141,6040.44
Eternal Whispers ,1944,510, Mystery,8.3,Leo Donovan,299,9149.4
Harbor of Echoes ,1942,351, Nautical Adventure,8.1,Ellie Johnson,363,7644.78
Crimson Reverie ,1944,420, Gothic Romance,8.1,Stella Thornton,211,5317.2
Whispers of the Lost ,1935,390, Historical Mystery,8.2,Joseph Foster,184,4305.6
Eclipsed Illusions ,2008,354,Sci-FiFantasy,8.2,Julian Callahan,298,6329.52
Pulse of Redemption ,1928,285, Psychological Thriller,8.1,Aurora Hudson,326,5574.6
Realm of Echoes ,1935,405, Urban Fantasy,8.2,Asher Montgomery,417,10133.1
Chronicles of the Celestial Eclipse ,1963,549, High Fantasy,8.1,Violet Tate,152,5006.88
Sands of Desolation ,1933,327, Adventure Romance,8.2,Mateo Blackwell,193,3786.66
Whispers of the Vanished ,1962,321, Historical Adventure,8.1,Joseph Anderson,261,5026.86
Eternal Mirage ,1977,381, Mystery Thriller,8.1,Penelope Mercer,80,1828.8
City of Echoes ,1900,387, Urban Fantasy Mystery,8.1,Emma Hayes,159,3691.98
Veiled Echoes ,1990,357, Paranormal Suspense,8.2,Sofia Nelson,183,3919.86
Eclipse of Sins ,2008,387, Gothic Romance,8.2,Wyatt Ingram,94,2182.68
Echoes of the Unseen ,1926,393,Sci-FiThriller,8.3,Clara Donovan,81,1909.98
Whispers of the Enchanted ,1984,390, Fantasy,8.2,Victoria Ross,147,3439.8
Labyrinth of Memories ,1962,516, Contemporary Drama,8.2,Elijah Thornton,109,3374.64
Eternal Solitude ,1979,258, Psychological Fiction,8.1,Sofia Nelson,156,2414.88
Sands of the Abyss ,1957,288, Urban Fantasy,8.1,Maya Middleton,83,1434.24
Chronicles of the Celestial Legacy ,1926,324, High Fantasy,8.1,Jameson Caldwell,69,1341.36
Whispers of the Echo ,1962,483, Mystery,8.1,Caleb Ward,99,2869.02
Eclipsed Echoes ,1937,486,Sci-FiRomance,8.2,Elijah Price,57,1662.12
Echoes of Salvation ,1925,390, Adventure Romance,8.1,Madison Ward,62,1450.8
Pulse of Eternity ,1987,276, Psychological Thriller,8.1,Lily Mercer,79,1308.24
Crimson Echoes ,1979,315, Gothic Romance,8.2,Madison Ward,79,1493.1
City of Whispers ,1929,387, Urban Fantasy Mystery,8.1,Henry Rogers,51,1184.22
Eclipse of Dreams ,1938,315, Paranormal Suspense,8.1,Henry Rogers,47,888.3
Whispers of the Unknown ,1949,273,Sci-FiThriller,8.1,Maya Middleton,48,786.24
Eternal Enigma ,1988,393, Mystery,8.2,Owen Donovan,27,636.66
Shadows of the Forgotten ,2000,285, Historical Mystery,8.1,Grace Powell,50,855
Chronicles of the Celestial Quest ,1939,234, High Fantasy,8.1,Elise Tate,41,575.64
Sands of Echoes ,1900,330, Adventure Romance,8.1,Carter Hudson,22,435.6
Labyrinth of Whispers ,2019,408, Psychological Thriller,7.6,Ellie Montgomery,318,7784.64
Echoes of Redemption ,1979,414, Urban Fantasy,7.8,Jonah Thornton,415,10308.6
Whispers of the Eclipsed ,2002,360, Paranormal Suspense,8.1,Mia Callahan,454,9806.4
Eternal Odyssey ,2001,366,Sci-FiRomance,8.2,Isaac Blackwell,442,9706.32
Crimson Regrets ,2015,447, Gothic Romance,8.1,Lucas Bennett,445,11934.9
Eclipse of Echoes ,1974,459, Mystery,8.1,Clara Donovan,332,9143.28
Veiled Enigma ,1962,402, Supernatural Thriller,8,Sadie Mercer,25,603
City of Veiled Whispers ,1996,387, Urban Fantasy Mystery,8.1,Hudson Donovan,212,4922.64
Whispers of the Vanquished ,1943,294, Historical Mystery,8,Aurora Tate,191,3369.24
Sands of Illusion ,1925,339, Adventure Romance,8,Henry Ingram,359,7302.06
Eternal Mirage ,1994,267, Psychological Fiction,8.1,Aurora Tate,184,2947.68
Eclipsed Memories ,2017,444, Paranormal Suspense,8.1,Amelia Caldwell,278,7405.92
Chronicles of the Celestial Dawn ,1919,321, High Fantasy,8.2,Felix Hudson,444,8551.44
Whispers of the Uncharted ,1983,414,Sci-FiThriller,8.2,Emma Hayes,603,14978.52
Echoes of Reflection ,2011,297, Romance,8.1,Ivy Thornton,371,6611.22
Pulse of Oblivion ,2006,438, Mystery Thriller,8.1,Owen Mercer,207,5439.96
City of Silent Echoes ,1986,474, Urban Fantasy Mystery,8.2,Ruby Donovan,267,7593.48
Eclipse of the Unknown ,1910,423, Supernatural Suspense,8.1,Sophia Reynolds,453,11497.14
Whispers of the Mirage ,1914,402, Psychological Thriller,8.1,Leo Tate,314,7573.68
Crimson Prophecies ,1934,306, Urban Fantasy,8.1,Piper Middleton,180,3304.8
Eternal Whispers ,1934,369, Mystery,8.1,Asher Montgomery,216,4782.24
Echoes of the Abyss ,2009,309,Sci-FiFantasy,8.2,Eli Callahan,495,9177.3
City of Lost Echoes ,1980,360, Urban Fantasy Mystery,8.1,Grace Blackwell,185,3996
Sands of Redemption ,1997,396, Adventure Romance,8.1,Joseph Foster,306,7270.56
Veiled Chronicles ,1980,345, Historical Mystery,8,Nolan Mercer,281,5816.7
Pulse of Regret ,1924,486, Gothic Romance,8.1,Cameron Mercer,60,1749.6
Eclipse of Illusion ,1923,366, Paranormal Suspense,8.1,Eva Thornton,90,1976.4
Chronicles of the Celestial Echo ,2004,279, High Fantasy,8.1,Max Donovan,130,2176.2
Whispers of the Unveiled ,1966,294, Supernatural Thriller,8.1,Hazel Caldwell,336,5927.04
Eternal Odyssey ,1962,279,Sci-FiRomance,8,Lincoln Hudson,118,1975.32
Sands of Enchantment ,1986,636, Urban Fantasy,8.1,Nova Montgomery,107,4083.12
Murmurs of the Mirage ,1945,303, Psychological Fiction,8.1,Beckett Tate,141,2563.38
Echoes of Oblivion ,1993,294, Mystery Thriller,8.1,Aria Ingram,69,1217.16
City of Veiled Echoes ,1951,363, Urban Fantasy Mystery,8.1,Finn Donovan,158,3441.24
Eclipse of Redemption ,1973,330, Gothic Romance,8,Owen Adams,96,1900.8
Whispers of the Forgotten World ,1944,573, Historical Adventure,8,Emery Mercer,103,3541.14
Realm of Eclipsed Dreams ,2005,555,Sci-FiFantasy,8.1,Lily Cooper,76,2530.8
Sands of Silence ,1984,393, Contemporary Drama,8.1,Everett Thornton,87,2051.46
Eternal Reflections ,1993,282, Romance,8,Luna Callahan,179,3028.68
Echoes of the Vanished ,1995,303, Mystery,8,Roman Blackwell,55,999.9
City of Enchanted Whispers ,2002,294, Urban Fantasy Mystery,8.1,Lila Mercer,80,1411.2
Pulse of the Unseen ,1947,399, Supernatural Thriller,8.1,Milo Tate,79,1891.26
Chronicles of the Celestial Whispers ,1965,462, High Fantasy,8.1,Quinn Donovan,107,2966.04
Whispers of the Veiled ,1954,363, Paranormal Suspense,8.1,Isabella Simmons,71,1546.38
Eclipse of Illusions ,1928,351,Sci-FiRomance,8,Sofia Nelson,76,1600.56
Murmurs of the Forgotten ,1906,300, Historical Mystery,8,Sebastian Callahan,71,1278
Sands of Solace ,1949,255, Adventure Romance,8.1,Maya Middleton,54,826.2
Veiled Echoes ,1935,387, Psychological Thriller,8.1,Kieran Caldwell,42,975.24
Eternal Prophecies ,1969,372, Urban Fantasy,8.1,Sophia Reynolds,276,6160.32
